pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
Aleka.id,"Warehouse Staff","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/warehouse-staff-aleka-id-jakarta-selatan.html,"Posted Date: Januari 17, 2024"
"PT SUN LOGISTICS","EXIM Staff","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/ekspor-impor/exim-staff-pt-sun-logistics-jakarta-utara-2.html,"Posted Date: Januari 17, 2024"
"PT. Rizki Prima Sakti","Staff Admin Project","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-project-pt-rizki-prima-sakti-jakarta-barat.html,"Updated:  Maret 9, 2024"
"PT Tumbuh Sehat Makmur","Staff Bar","DKI Jakarta",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/restaurant/bartender/staff-bar-pt-tumbuh-sehat-makmur-dki-jakarta.html,"Posted Date: Januari 11, 2024"
fomu,"Body Repair Finishing","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/automotive/body-repair/body-repair-finishing-fomu-jakarta-barat.html,"Posted Date: Januari 11, 2024"
"PT CHANDRA ANUGRAH GEMILANG","Staff Operasional Gudang (Staff Inbound)","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/staff-operasional-gudang-staff-inbound-pt-chandra-anugrah-gemilang-jakarta-utara.html,"Updated:  April 7, 2024"
"PT. RAJAWALI LINTAS SAMUDERA","Krani / Tallyman","Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/krani-tallyman-pt-rajawali-lintas-samudera-jakarta-utara-2.html,"Updated:  Januari 11, 2024"
"LACH AND MARGOT","Sales Admin","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/sales-admin-lach-and-margot-jakarta-utara-2.html,"Posted Date: Januari 10, 2024"
"MBC Group","Admin Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/admin-staff-mbc-group-jakarta-barat.html,"Updated:  Februari 28, 2024"
"PT. SURYA KREASI PRATAMA","Graphic Designer","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/desain-arsitektur/grafis/graphic-designer-pt-surya-kreasi-pratama-jakarta-barat.html,"Posted Date: Januari 5, 2024"
"PT. SURYA KREASI PRATAMA","Sales Marketplace","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/sales-marketplace-pt-surya-kreasi-pratama-jakarta-barat.html,"Posted Date: Januari 5, 2024"
"PT. BATTEN INDO ASIA","Admin Staff","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/admin-staff-pt-batten-indo-asia-jakarta-barat.html,"Posted Date: Januari 4, 2024"
