nama_perusahaan,judul_pekerjaan,lokasi_pekerjaan,gaji_pekerjaan,type_pekerjaan,deskripsi_pekerjaan,tanggal_diposting,link
"Pocong Pancong Keputih","Staff oulet","Keputih, Jawa Timur","Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tanggung jawab Pekerjaan :Melayani customer dalam storeMenjelaskan produk Membantu customer memilih produkPersyaratan Pekerjaan :Pendidikan minimal SMK / SMABerpengalaman di bidang Sales & Retail menjadi nilai plusMemiliki inisiatif dan minat belajar yang tinggiJujur, sopan dan rapiFast respon & KomunikatifPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, Siang, SoreSelasa: Pagi, Siang, SoreRabu: Pagi, Siang, SoreKamis: Pagi, Siang, SoreJum'at: Pagi, Siang, SoreSabtu: Pagi, Siang, SoreMinggu: Pagi, Siang, SoreTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","1 hari yang lalu",https://id.jobstreetexpress.com//job/Staff-oulet-63f016f2728bf185dd843bc05303d078?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=54e4e433-3dc9-47ab-a93c-1ac9fa840118&sp=serp&sponsored=false&sq=&sr=495&tk=zsNizCAVEh2aaDEmHGCq-1Gnuqlz2Xw0BlrtqXQ7O&trigger_source=serp
"Tumbuh Kreasi Group sebagai rekruter Ombein Indonesia","Crew Outlet Ombein Indonesia Cabang Godean 1","Caturtunggal, Yogyakarta","Rp900.000 - Rp1.500.000 per bulan","Part time","INFO LOKER Crew Outlet Ombein IndonesiaDeskripsi KerjaMembuat minuman sesuai dengan SOPBisa bekerjasama dengan timBersedia masuk di tanggal merah / libur nasional / hari besarMinimal pendidikan SMA/SMK SederajatDisipilin rajin dan cekatanBertanggung jawab dalam pekerjaanBenefitGaji PokokBonus omsetJenjang karirPenempatanCrew Parttime Ombein Indonesia cabang Godean 1Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 05 May 2024Gaji yang diinginkan: Rp900,000 - Rp1,500,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Crew-Outlet-f50fbbfd7b4e237d8c3beb18a00e28dd?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=54e4e433-3dc9-47ab-a93c-1ac9fa840118&sp=serp&sponsored=false&sq=&sr=496&tk=zsNizCAVEh2aaDEmHGCq-1Gnuqlz2Xw0BlrtqXQ7O&trigger_source=serp
"PT. MAKADATA",Supervisor,"Mojo, Jawa Timur","Tanpa pengalaman kerja","Full time","PT. MAKADATA merupakan salah satu perusahaan yang
mengelola dan menjual perlengkapan alat tulis sekolah, alat tulis kantor,
pernak pernik ulang tahun, gift dan perlengkapan rumah tangga. Berdiri dari
tahun 2011, usaha awal yang kami rintis adalah penjualan alat-alat tulis baik
secara retail maupun grosir. Dan kini Makadata telah memiliki 8 cabang yang ada
di Surabaya dan Sidoarjo. Dengan adanya perkembangan jaman, kami pun
memperluas bisnis kami di dunia online, yaitu melalui Tokopedia, dan
Shoppe. Tanggung Jawab  :Memantau karyawan sudah bekerja sesuai SOPMemberikan instruksi tugas ke karyawanMengelola penjualan tokoMenjalankan promosi tokoMemastikan pelayanan ke customer dilakukan dengan baik oleh karyawanMemantau operasional toko berjalan dengan baikKriteria  :     Usia antara 27-35 tahun     Pendidikan min. SMA/SMK/S1 segala jurusan     Memiliki komunikasi yang baik dan tegas     Pengalaman di retail (KKV/Miniso/Niceso) min. 2 tahun     Memiliki SIM dan kendaraan pribadi     Penempatan SidoarjoPersyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp4,200,000 - Rp5,000,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Supervisor-a38080a5a6db70d40fd6970b404ec945?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=54e4e433-3dc9-47ab-a93c-1ac9fa840118&sp=serp&sponsored=false&sq=&sr=497&tk=zsNizCAVEh2aaDEmHGCq-1Gnuqlz2Xw0BlrtqXQ7O&trigger_source=serp
"PT Agro Boga Utama (Ternate)","Checker Gudang","Ternate, Maluku Utara","Part time","Full time","1. Memiliki pengalaman sebagai Helper/Checker,2. Sehat secara fisik,3. Mengerjakan in bound dan out bond barang,4. Melakukan pengecekan jumlah dan kondisi barang di gudang,5. Melakukan penyusunan produk sesuai SOP perusahan,6. Lebih diminati bisa mengendarai MobilPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Siang, PagiSelasa: Siang, PagiRabu: Siang, PagiKamis: Siang, PagiJum'at: Siang, PagiSabtu: Siang, PagiDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 10 May 2024Gaji yang diinginkan: Rp3,000,000 - Rp3,500,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Checker-Gudang-e2c2a36c0fa17e282d509e7491e2db4e?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=54e4e433-3dc9-47ab-a93c-1ac9fa840118&sp=serp&sponsored=false&sq=&sr=498&tk=zsNizCAVEh2aaDEmHGCq-1Gnuqlz2Xw0BlrtqXQ7O&trigger_source=serp
"PT. IDExpress Logistik Indonesia","Kurir (Penjaringan)","Pluit, Jakarta","Rp4.200.000 - Rp5.000.000 per bulan","Full time","IDExpress kembali membuka kesempatan untuk kalian bergabung menjadi bagian dari kami! Kami sedang membutuhkan Kurir untuk domisili Penjaringan, Jakarta Utara dengan keterangan sebagai berikut.Deskripsi Pekerjaan:• Mengatur rute pengiriman yang efisien untuk menjangkau tujuan dengan tepat waktu.• Memastikan paket yang dikirimkan terkemas dengan baik dan aman untuk pengiriman. • Mengantarkan paket ke alamat yang dituju sesuai SOP.• Melaporakan dan menyetorkan paket yang tidak berhasil terantar.• Memastikan paket yang diterima dalam keadaan baik oleh konsumen.• Menjaga kerahasiaan paket serta menjaga keamanan paket yang dikirim.• Mengemudikan kendaraan pengiriman dengan aman dan mematuhi aturan lalu lintas. • Mendokumentasikan pengiriman paket yang berhasil dan mencatat informasi yang relevan. • Berkomunikasi dengan penerima paket untuk memberikan pembaharuan tentang pengiriman.Kriteria:• Pendidikan minimal SMA/sederajat.• Memiliki HP Android minimal RAM 3GB.• Dokumen kendaraan lengkap dan aktif (Sim C dan STNK)• Memiliki pengetahuan tentang aturan lalu lintas dan kemampuan navigasi yang baik.• Jujur dan mampu bekerja sama dalam tim.• Berdomisili di Penjaringan, Jakarta Utara.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 04 May 2024Gaji yang diinginkan: Rp1,000,000 - Rp5,000,000 per bulan","Sekitar 5 jam yang lalu",https://id.jobstreetexpress.com//job/Kurir-Penjaringan-503a2a0b335b2f003dfe338b8e7a165f?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=54e4e433-3dc9-47ab-a93c-1ac9fa840118&sp=serp&sponsored=false&sq=&sr=499&tk=zsNizCAVEh2aaDEmHGCq-1Gnuqlz2Xw0BlrtqXQ7O&trigger_source=serp
"PT. Indomobil Finance Indonesia - Cab. Semarang","ADMINISTRATION  STAFF","Miroto, Jawa Tengah","Rp3.000.000 - Rp3.500.000 per bulan",,"Rincian pekerjaan :Memastikan semua aktivitas administrasi yang ada berjalan sesuai dengan SOP dan aturan yang berlakuMelakukan rangkaian tugas administrai sesuai dengan fungsinyaMelakukan fungsi pelayanan konsumenKualifikasi :Usia Max 30 tahunDomisili Kota SemarangPendidikan min D3 semua jurusanFreshgraduate / berpengalaman minimal 1 tahunMemiliki kemampuan administrasi yang baikMampu menggunakan aplikasi Ms. OfficeMencantumkan no telepon seluler (bukan Whatsapp)Pengganti admin cuti melahirkan 4 bulanBenefit :Gaji UMRBPJS Kesehatan, Ketenagakerjaan, PensiunUang lemburPersyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024","7 hari yang lalu",https://id.jobstreetexpress.com//job/Administration-Staff-134a841320c0ba48b0e45a1cc26703e9?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=54e4e433-3dc9-47ab-a93c-1ac9fa840118&sp=serp&sponsored=false&sq=&sr=500&tk=zsNizCAVEh2aaDEmHGCq-1Gnuqlz2Xw0BlrtqXQ7O&trigger_source=serp
"Bakmi Permata","Staff Admin Gudang","Kelurahan Grogol Utara, Jakarta","Rp3.000.000 - Rp4.000.000 per bulan","Full time","- Mengawasi penerimaan dan pemrosesan stok masuk barang & mengelolanya.- Melakukan koordinasi dengan semua departemen untuk pengadaan barang.- Mencatat penulisan barang masuk dan barang keluar.- Memastikan barang yang diterima dalam kondisi mutu yang baik. Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi iniTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp3,000,000 - Rp4,000,000 per bulan","12 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-3826e05b4e35e86db93f171160d00628?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=491&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"BTPN syariah","Community Officer Jember","Keputran, Jawa Timur","Rp2.600.000 - Rp2.600.000 per bulan","Full time","Deskripsi Pekerjaan : BTPN Syariah sebuah lembaga keuangan yang berkomitmen pada nilai-nilai syariah, membuka kesempatan bagi individu yang dinamis dan bersemangat untuk bergabung sebagai Community Officer. Community Officer bertanggung jawab untuk memperkenalkan produk pembiayaan modal usaha berbasis syariah kepada masyarakat di setiap kecamatan, dengan fokus utama pada pengembangan bisnis kecil dan menengah.Kualifikasi : Usia 18-33 tahun Pendidikan minimal SMA/SMK sederajat (terbuka untuk D3 & S1) Senang berpetualang Dapat mengendarai sepeda motor (manual) Benefit & Fasilitas :Pendapatan tetap, THR 2x gaji, dan insentifJaminan kesehatan lengkap (BPJS, Asuransi Rawat Inap)Fasilitas tempat tinggal dan kendaraan kerjaKesempatan beasiswa sarjana S1  Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPGaji yang diinginkan: Rp2,600,000 per bulan","Sekitar 5 jam yang lalu",https://id.jobstreetexpress.com//job/Community-Officer-996be17a0979b9e266ffd8551147dafe?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=492&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"PT Logamindo Teknologi Indonesia","Direct Sales","Cipete Utara, Jakarta","Tanpa pengalaman kerja","Full time","Direct Sales Provider Internet1. Membangun hubungan dengan calon customer mengenai penggunaan fitur-fitur internet fiber optic2. Melakukan pemasaran produk internet fiber optic3. Memenuhi atau melebihi kuota penjualan mingguan, bulanan, dan tahunan.4. Mendemonstrasikan fitur produk kepada pelanggan.5. Mengisi formulir pemesanan dan mengirimkannya untuk diproses.6. Menghadiri pameran dagang dan acara terkait industri lainnya.7. Menyiapkan proposal penjualan untuk calon pembeli.8. Menyelesaikan laporan penjualan reguler yang menyebutkan jumlah penjualan yang dilakukan.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 06 May 2024Gaji yang diinginkan: Rp4,000,000 - Rp9,000,000 per bulan","Sekitar 7 jam yang lalu",https://id.jobstreetexpress.com//job/Direct-Sales-80c0013aa5aabdf4024ddff0b2a13148?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=493&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"Untung Raja Steel","Area Cordinator","Rungkut, Jawa Timur","Rp4.000.000 - Rp9.000.000 per bulan",,"Anda Punya Pengalaman Memimpin Toko Retail?Dan Terbiasa Memimpin Team Mencapai Target ?Ayo bergabung menjadi AREA COORDINATOR di PT Untung Raja Steel.Baca di Caption ya!Mari bergabung dengan PT Untung Raja Steel. Kami adalah jaringan toko bahan bangunan yang dalam 5 tahun sudah berkembang hadir di 6 lokasi. Tujuan kami terus berkembang menjadi 15 toko di tahun 2030.Tugas :Memimpin Kepala Toko.Memastikan target penjualan semua toko tercapai.Memastikan semua prosedur operasional berjalan baik.Persyaratan :Usia 25-35 Tahun.Pendidikan min SMA.Pengalaman bekerja sebagai Area Coordinator min 3 tahun.Benefit :Gaji Bulanan Komisi Penjualan Persyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 20 May 2024","Sekitar 2 jam yang lalu",https://id.jobstreetexpress.com//job/Area-Cordinator-233fe00f36b6a4b64d3fa9c49e5e1e93?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=494&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"Pocong Pancong Keputih","Staff oulet","Keputih, Jawa Timur","Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tanggung jawab Pekerjaan :Melayani customer dalam storeMenjelaskan produk Membantu customer memilih produkPersyaratan Pekerjaan :Pendidikan minimal SMK / SMABerpengalaman di bidang Sales & Retail menjadi nilai plusMemiliki inisiatif dan minat belajar yang tinggiJujur, sopan dan rapiFast respon & KomunikatifPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, Siang, SoreSelasa: Pagi, Siang, SoreRabu: Pagi, Siang, SoreKamis: Pagi, Siang, SoreJum'at: Pagi, Siang, SoreSabtu: Pagi, Siang, SoreMinggu: Pagi, Siang, SoreTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","1 hari yang lalu",https://id.jobstreetexpress.com//job/Staff-oulet-63f016f2728bf185dd843bc05303d078?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=495&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"Tumbuh Kreasi Group sebagai rekruter Ombein Indonesia","Crew Outlet Ombein Indonesia Cabang Godean 1","Caturtunggal, Yogyakarta","Rp900.000 - Rp1.500.000 per bulan","Part time","INFO LOKER Crew Outlet Ombein IndonesiaDeskripsi KerjaMembuat minuman sesuai dengan SOPBisa bekerjasama dengan timBersedia masuk di tanggal merah / libur nasional / hari besarMinimal pendidikan SMA/SMK SederajatDisipilin rajin dan cekatanBertanggung jawab dalam pekerjaanBenefitGaji PokokBonus omsetJenjang karirPenempatanCrew Parttime Ombein Indonesia cabang Godean 1Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 05 May 2024Gaji yang diinginkan: Rp900,000 - Rp1,500,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Crew-Outlet-f50fbbfd7b4e237d8c3beb18a00e28dd?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=496&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"PT. MAKADATA",Supervisor,"Mojo, Jawa Timur","Tanpa pengalaman kerja","Full time","PT. MAKADATA merupakan salah satu perusahaan yang
mengelola dan menjual perlengkapan alat tulis sekolah, alat tulis kantor,
pernak pernik ulang tahun, gift dan perlengkapan rumah tangga. Berdiri dari
tahun 2011, usaha awal yang kami rintis adalah penjualan alat-alat tulis baik
secara retail maupun grosir. Dan kini Makadata telah memiliki 8 cabang yang ada
di Surabaya dan Sidoarjo. Dengan adanya perkembangan jaman, kami pun
memperluas bisnis kami di dunia online, yaitu melalui Tokopedia, dan
Shoppe. Tanggung Jawab  :Memantau karyawan sudah bekerja sesuai SOPMemberikan instruksi tugas ke karyawanMengelola penjualan tokoMenjalankan promosi tokoMemastikan pelayanan ke customer dilakukan dengan baik oleh karyawanMemantau operasional toko berjalan dengan baikKriteria  :     Usia antara 27-35 tahun     Pendidikan min. SMA/SMK/S1 segala jurusan     Memiliki komunikasi yang baik dan tegas     Pengalaman di retail (KKV/Miniso/Niceso) min. 2 tahun     Memiliki SIM dan kendaraan pribadi     Penempatan SidoarjoPersyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp4,200,000 - Rp5,000,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Supervisor-a38080a5a6db70d40fd6970b404ec945?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=497&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"PT Agro Boga Utama (Ternate)","Checker Gudang","Ternate, Maluku Utara","Part time","Full time","1. Memiliki pengalaman sebagai Helper/Checker,2. Sehat secara fisik,3. Mengerjakan in bound dan out bond barang,4. Melakukan pengecekan jumlah dan kondisi barang di gudang,5. Melakukan penyusunan produk sesuai SOP perusahan,6. Lebih diminati bisa mengendarai MobilPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Siang, PagiSelasa: Siang, PagiRabu: Siang, PagiKamis: Siang, PagiJum'at: Siang, PagiSabtu: Siang, PagiDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 10 May 2024Gaji yang diinginkan: Rp3,000,000 - Rp3,500,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Checker-Gudang-e2c2a36c0fa17e282d509e7491e2db4e?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=498&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"PT. IDExpress Logistik Indonesia","Kurir (Penjaringan)","Pluit, Jakarta","Rp4.200.000 - Rp5.000.000 per bulan","Full time","IDExpress kembali membuka kesempatan untuk kalian bergabung menjadi bagian dari kami! Kami sedang membutuhkan Kurir untuk domisili Penjaringan, Jakarta Utara dengan keterangan sebagai berikut.Deskripsi Pekerjaan:• Mengatur rute pengiriman yang efisien untuk menjangkau tujuan dengan tepat waktu.• Memastikan paket yang dikirimkan terkemas dengan baik dan aman untuk pengiriman. • Mengantarkan paket ke alamat yang dituju sesuai SOP.• Melaporakan dan menyetorkan paket yang tidak berhasil terantar.• Memastikan paket yang diterima dalam keadaan baik oleh konsumen.• Menjaga kerahasiaan paket serta menjaga keamanan paket yang dikirim.• Mengemudikan kendaraan pengiriman dengan aman dan mematuhi aturan lalu lintas. • Mendokumentasikan pengiriman paket yang berhasil dan mencatat informasi yang relevan. • Berkomunikasi dengan penerima paket untuk memberikan pembaharuan tentang pengiriman.Kriteria:• Pendidikan minimal SMA/sederajat.• Memiliki HP Android minimal RAM 3GB.• Dokumen kendaraan lengkap dan aktif (Sim C dan STNK)• Memiliki pengetahuan tentang aturan lalu lintas dan kemampuan navigasi yang baik.• Jujur dan mampu bekerja sama dalam tim.• Berdomisili di Penjaringan, Jakarta Utara.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 04 May 2024Gaji yang diinginkan: Rp1,000,000 - Rp5,000,000 per bulan","Sekitar 5 jam yang lalu",https://id.jobstreetexpress.com//job/Kurir-Penjaringan-503a2a0b335b2f003dfe338b8e7a165f?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=499&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"PT. Indomobil Finance Indonesia - Cab. Semarang","ADMINISTRATION  STAFF","Miroto, Jawa Tengah","Rp3.000.000 - Rp3.500.000 per bulan",,"Rincian pekerjaan :Memastikan semua aktivitas administrasi yang ada berjalan sesuai dengan SOP dan aturan yang berlakuMelakukan rangkaian tugas administrai sesuai dengan fungsinyaMelakukan fungsi pelayanan konsumenKualifikasi :Usia Max 30 tahunDomisili Kota SemarangPendidikan min D3 semua jurusanFreshgraduate / berpengalaman minimal 1 tahunMemiliki kemampuan administrasi yang baikMampu menggunakan aplikasi Ms. OfficeMencantumkan no telepon seluler (bukan Whatsapp)Pengganti admin cuti melahirkan 4 bulanBenefit :Gaji UMRBPJS Kesehatan, Ketenagakerjaan, PensiunUang lemburPersyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024","7 hari yang lalu",https://id.jobstreetexpress.com//job/Administration-Staff-134a841320c0ba48b0e45a1cc26703e9?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=d1421037-fb10-411a-a6db-c9a21c365d44&sp=serp&sponsored=false&sq=&sr=500&tk=zsNizCAVEh2aaDEmHGCq-aCQ94g8zaHPGqMcpKOuJ&trigger_source=serp
"Bakmi Permata","Staff Admin Gudang","Kelurahan Grogol Utara, Jakarta","Rp3.000.000 - Rp4.000.000 per bulan","Full time","- Mengawasi penerimaan dan pemrosesan stok masuk barang & mengelolanya.- Melakukan koordinasi dengan semua departemen untuk pengadaan barang.- Mencatat penulisan barang masuk dan barang keluar.- Memastikan barang yang diterima dalam kondisi mutu yang baik. Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi iniTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp3,000,000 - Rp4,000,000 per bulan","12 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-3826e05b4e35e86db93f171160d00628?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=b24367cf-14c4-4ff6-8342-1f9b5b64cc8d&sp=serp&sponsored=false&sq=&sr=491&tk=zsNizCAVEh2aaDEmHGCq-Gz7ec7olOw82Fkkx8P67&trigger_source=serp
"BTPN syariah","Community Officer Jember","Keputran, Jawa Timur","Rp2.600.000 - Rp2.600.000 per bulan","Full time","Deskripsi Pekerjaan : BTPN Syariah sebuah lembaga keuangan yang berkomitmen pada nilai-nilai syariah, membuka kesempatan bagi individu yang dinamis dan bersemangat untuk bergabung sebagai Community Officer. Community Officer bertanggung jawab untuk memperkenalkan produk pembiayaan modal usaha berbasis syariah kepada masyarakat di setiap kecamatan, dengan fokus utama pada pengembangan bisnis kecil dan menengah.Kualifikasi : Usia 18-33 tahun Pendidikan minimal SMA/SMK sederajat (terbuka untuk D3 & S1) Senang berpetualang Dapat mengendarai sepeda motor (manual) Benefit & Fasilitas :Pendapatan tetap, THR 2x gaji, dan insentifJaminan kesehatan lengkap (BPJS, Asuransi Rawat Inap)Fasilitas tempat tinggal dan kendaraan kerjaKesempatan beasiswa sarjana S1  Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPGaji yang diinginkan: Rp2,600,000 per bulan","Sekitar 5 jam yang lalu",https://id.jobstreetexpress.com//job/Community-Officer-996be17a0979b9e266ffd8551147dafe?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=b24367cf-14c4-4ff6-8342-1f9b5b64cc8d&sp=serp&sponsored=false&sq=&sr=492&tk=zsNizCAVEh2aaDEmHGCq-Gz7ec7olOw82Fkkx8P67&trigger_source=serp
"PT Logamindo Teknologi Indonesia","Direct Sales","Cipete Utara, Jakarta","Tanpa pengalaman kerja","Full time","Direct Sales Provider Internet1. Membangun hubungan dengan calon customer mengenai penggunaan fitur-fitur internet fiber optic2. Melakukan pemasaran produk internet fiber optic3. Memenuhi atau melebihi kuota penjualan mingguan, bulanan, dan tahunan.4. Mendemonstrasikan fitur produk kepada pelanggan.5. Mengisi formulir pemesanan dan mengirimkannya untuk diproses.6. Menghadiri pameran dagang dan acara terkait industri lainnya.7. Menyiapkan proposal penjualan untuk calon pembeli.8. Menyelesaikan laporan penjualan reguler yang menyebutkan jumlah penjualan yang dilakukan.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 06 May 2024Gaji yang diinginkan: Rp4,000,000 - Rp9,000,000 per bulan","Sekitar 7 jam yang lalu",https://id.jobstreetexpress.com//job/Direct-Sales-80c0013aa5aabdf4024ddff0b2a13148?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=b24367cf-14c4-4ff6-8342-1f9b5b64cc8d&sp=serp&sponsored=false&sq=&sr=493&tk=zsNizCAVEh2aaDEmHGCq-Gz7ec7olOw82Fkkx8P67&trigger_source=serp
"Untung Raja Steel","Area Cordinator","Rungkut, Jawa Timur","Rp4.000.000 - Rp9.000.000 per bulan",,"Anda Punya Pengalaman Memimpin Toko Retail?Dan Terbiasa Memimpin Team Mencapai Target ?Ayo bergabung menjadi AREA COORDINATOR di PT Untung Raja Steel.Baca di Caption ya!Mari bergabung dengan PT Untung Raja Steel. Kami adalah jaringan toko bahan bangunan yang dalam 5 tahun sudah berkembang hadir di 6 lokasi. Tujuan kami terus berkembang menjadi 15 toko di tahun 2030.Tugas :Memimpin Kepala Toko.Memastikan target penjualan semua toko tercapai.Memastikan semua prosedur operasional berjalan baik.Persyaratan :Usia 25-35 Tahun.Pendidikan min SMA.Pengalaman bekerja sebagai Area Coordinator min 3 tahun.Benefit :Gaji Bulanan Komisi Penjualan Persyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 20 May 2024","Sekitar 2 jam yang lalu",https://id.jobstreetexpress.com//job/Area-Cordinator-233fe00f36b6a4b64d3fa9c49e5e1e93?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=b24367cf-14c4-4ff6-8342-1f9b5b64cc8d&sp=serp&sponsored=false&sq=&sr=494&tk=zsNizCAVEh2aaDEmHGCq-Gz7ec7olOw82Fkkx8P67&trigger_source=serp
